DEVICE_ID,DEVICE_NUMBER,FILENAME,POSITION,VALUE1,VALUE2
STKT01,1,defect.png,0,0.7349,2.1801
STKT01,1,defect.png,1,0.0,0.6494
STKT01,1,defect1.png,0,1.7757,4.0693
STKT01,1,defect1.png,1,3.3622,6.3348
STKT01,1,defect2.png,0,0.7349,2.1801
STKT01,1,defect2.png,1,0.671,2.0707
STKT01,1,defect3.png,0,3.7289,6.6341
STKT01,1,defect3.png,1,7.381,7.1717
STKT01,1,nodefect.png,0,0.0,0.5327
STKT01,1,nodefect.png,1,0.0,0.9812
STKT01,1,nodefect.png,0,0.0,0.4675
STKT01,1,nodefect.png,1,0.0,1.0719
STKT01,1,defect.png,0,0.645,3.4069
STKT01,1,defect.png,1,0.0,3.0462
STKT01,1,defect1.png,0,1.5584,5.0649
STKT01,1,defect1.png,1,2.5485,7.3558
STKT01,1,defect2.png,0,0.645,3.4069
STKT01,1,defect2.png,1,0.5086,4.1236
STKT01,1,defect3.png,0,3.2727,7.316
STKT01,1,defect3.png,1,5.5947,10.9215
STKT01,1,defect4.png,0,0.645,3.4069
STKT01,1,defect4.png,1,0.5086,4.1236
STKT01,1,defect5.png,0,0.645,3.4069
STKT01,1,defect5.png,1,0.5086,4.1236
STKT01,1,nodefect.png,0,0.0,0.4675
STKT01,1,nodefect.png,1,0.0,1.0719
STKT02,2,defect.png,0,0.7839,2.3253
STKT02,2,defect.png,1,0.0,0.558
STKT02,2,defect1.png,0,1.8939,4.3403
STKT02,2,defect1.png,1,2.8894,5.4439
STKT02,2,defect2.png,0,0.7839,2.3253
STKT02,2,defect2.png,1,0.5766,1.7795
STKT02,2,defect3.png,0,3.9773,7.076
STKT02,2,defect3.png,1,6.281,6.1136
STKT02,2,defect4.png,0,0.7839,2.3253
STKT02,2,defect4.png,1,0.5766,1.7795
STKT02,2,defect5.png,0,0.7839,2.3253
STKT02,2,defect5.png,1,0.5766,1.7795
STKT02,2,nodefect.png,0,0.0,0.5682
STKT02,2,nodefect.png,1,0.0,0.8433
